tcp   LISTEN 0      511          0.0.0.0:80          0.0.0.0:*    users:(("nginx",pid=812,fd=6),("nginx",pid=811,fd=6))
tcp   LISTEN 0      511          0.0.0.0:443         0.0.0.0:*    users:(("nginx",pid=812,fd=8),("nginx",pid=811,fd=8))
tcp   LISTEN 0      511          0.0.0.0:8443        0.0.0.0:*    users:(("nginx",pid=812,fd=10))
tcp   LISTEN 0      128          0.0.0.0:22          0.0.0.0:*    users:(("sshd",pid=701,fd=3))
tcp   LISTEN 0      2000       10.10.0.2:5432        0.0.0.0:*    users:(("haproxy",pid=933,fd=7))
tcp   LISTEN 0      2000         0.0.0.0:8090        0.0.0.0:*    users:(("haproxy",pid=933,fd=8))
tcp   LISTEN 0      2000         0.0.0.0:9001        0.0.0.0:*    users:(("haproxy",pid=933,fd=9))
tcp   LISTEN 0      4096       127.0.0.1:8080        0.0.0.0:*    users:(("docker-proxy",pid=1201,fd=4))
tcp   LISTEN 0      4096       127.0.0.1:8081        0.0.0.0:*    users:(("docker-proxy",pid=1233,fd=4))
tcp   LISTEN 0      4096         0.0.0.0:6379        0.0.0.0:*    users:(("docker-proxy",pid=1255,fd=4))
tcp   LISTEN 0      4096       127.0.0.1:3000        0.0.0.0:*    users:(("docker-proxy",pid=1288,fd=4))
tcp   LISTEN 0      4096       127.0.0.1:9090        0.0.0.0:*    users:(("docker-proxy",pid=1301,fd=4))
tcp   LISTEN 0      4096       127.0.0.1:9002        0.0.0.0:*    users:(("docker-proxy",pid=1322,fd=4))
tcp   LISTEN 0      4096       127.0.0.1:8082        0.0.0.0:*    users:(("static-server",pid=1400,fd=3))
tcp   LISTEN 0      511        127.0.0.1:11211       0.0.0.0:*    users:(("memcached",pid=655,fd=6))
tcp   LISTEN 0      4096       127.0.0.1:5433        0.0.0.0:*    users:(("docker-proxy",pid=1455,fd=4))
udp   UNCONN 0      0          127.0.0.53:53         0.0.0.0:*    users:(("systemd-resolve",pid=602,fd=12))
udp   UNCONN 0      0            0.0.0.0:68          0.0.0.0:*    users:(("dhclient",pid=590,fd=6))
